wl,n,k
198.0,1.6509022799689,0.0
216.6,1.6272977650335,0.0
235.1,1.6105940236753,0.0
253.7,1.5981375685748,0.0
272.2,1.5886508907652,0.0
290.8,1.5811587921582,0.0
309.3,1.5751824236813,0.0
327.90000000000003,1.5702782520905,0.0
346.4,1.5662374657034,0.0
365.0,1.5628280572049,0.0
383.5,1.5599498344138,0.0
402.1,1.557468712187,0.0
420.59999999999997,1.5553336391433,0.0
439.2,1.5534610691137,0.0
457.7,1.5518241321073,0.0
476.3,1.5503675987929,0.0
494.8,1.5490772608042,0.0
513.4,1.5479148085828,0.0
531.9000000000001,1.5468729798294,0.0
550.5,1.5459241112231,0.0
569.0,1.5450648865548,0.0
587.6,1.5442746312619,0.0
606.1,1.5435523290821,0.0
624.7,1.5428820577752,0.0
643.2,1.5422641654214,0.0
661.8000000000001,1.5416860584341,0.0
680.3000000000001,1.5411489026025,0.0
698.9,1.5406424949492,0.0
717.4000000000001,1.5401684928317,0.0
736.0,1.5397184470901,0.0
754.5,1.5392943091668,0.0
773.1,1.5388889400007,0.0
791.6,1.5385044645243,0.0
810.2,1.5381347373865,0.0
828.7,1.537781983273,0.0
847.3000000000001,1.5374408202771,0.0
865.8000000000001,1.5371135281027,0.0
884.4,1.5367953176023,0.0
902.9000000000001,1.5364884969242,0.0
921.5,1.5361887410528,0.0
940.0,1.5358983714683,0.0
958.6,1.5356134288933,0.0
977.1,1.5353362402843,0.0
995.7,1.5350631358046,0.0
1014.0,1.5347993033996,0.0
1033.0,1.5345299129011,0.0
1051.0,1.5342784742648,0.0
1070.0,1.5340165738061,0.0
1088.0,1.5337713742758,0.0
1107.0,1.5335152311644,0.0
1126.0,1.5332614617766,0.0
1144.0,1.5330229178564,0.0
1163.0,1.5327727829467,0.0
1181.0,1.5325371192561,0.0
1200.0,1.5322894756697,0.0
1218.0,1.5320556903891,0.0
1237.0,1.5318095583379,0.0
1255.0,1.5315767901968,0.0
1274.0,1.5313313248278,0.0
1293.0,1.5310859107631,0.0
1311.0,1.5308532975129,0.0
1330.0,1.5306074784481,0.0
1348.0,1.5303741892948,0.0
1367.0,1.5301273680368,0.0
1385.0,1.5298928727237,0.0
1404.0,1.5296445239362,0.0
1422.0,1.5294083547299,0.0
1441.0,1.5291580137571,0.0
1459.0,1.528919755828,0.0
1478.0,1.528667009457,0.0
1497.0,1.5284128818223,0.0
1515.0,1.5281707716945,0.0
1534.0,1.5279136943812,0.0
1552.0,1.5276686367813,0.0
1571.0,1.5274082947433,0.0
1589.0,1.5271600057484,0.0
1608.0,1.5268961135012,0.0
1626.0,1.5266443351423,0.0
1645.0,1.5263766326056,0.0
1664.0,1.526106879613,0.0
1682.0,1.5258493782134,0.0
1701.0,1.5255754619142,0.0
1719.0,1.5253139146014,0.0
1738.0,1.5250356243355,0.0
1756.0,1.5247698389666,0.0
1775.0,1.5244869792046,0.0
1793.0,1.5242167769668,0.0
1812.0,1.523929165267,0.0
1830.0,1.5236543788808,0.0
1849.0,1.5233618441258,0.0
1868.0,1.5230667180626,0.0
1886.0,1.5227846971589,0.0
1905.0,1.5224844072459,0.0
1923.0,1.5221974228407,0.0
1942.0,1.5218918201118,0.0
1960.0,1.5215997344067,0.0
1979.0,1.5212886766649,0.0
1997.0,1.5209913578099,0.0
2016.0,1.5206747086773,0.0
2035.0000000000002,1.5203551369454,0.0
2053.0,1.5200496580072,0.0
