Z,eV,cosP,RND
6,101,1.0,0.0
6,101,0.9998476951563913,0.0012436739016060958
6,101,0.9993908270190958,0.004957278166377571
6,101,0.9986295347545738,0.011089075979613588
6,101,0.9975640502598242,0.019554530872613506
6,101,0.9961946980917455,0.030238747612054792
6,101,0.9945218953682733,0.042999731048275654
6,101,0.992546151641322,0.057672291273833776
6,101,0.9902680687415704,0.0740724372022608
6,101,0.9876883405951378,0.09200205629405914
6,101,0.984807753012208,0.11125368197047453
6,101,0.981627183447664,0.13161516940021467
6,101,0.9781476007338057,0.15287415764157802
6,101,0.9743700647852352,0.17482214396258852
6,101,0.9702957262759965,0.19725805947369038
6,101,0.9659258262890683,0.21999133203106896
6,101,0.9612616959383189,0.24284434452104467
6,101,0.9563047559630354,0.26565430615532587
6,101,0.9510565162951535,0.2882745451280894
6,101,0.9455185755993168,0.3105752653268227
6,101,0.9396926207859084,0.33244381517723165
6,101,0.9335804264972017,0.353784530778227
6,101,0.9271838545667874,0.3745182181987541
6,101,0.9205048534524404,0.3945813546799888
6,101,0.9135454576426009,0.41392506595162665
6,101,0.9063077870366499,0.43251394108149716
6,101,0.898794046299167,0.4503247584955802
6,101,0.8910065241883679,0.4673451500452366
6,101,0.882947592858927,0.4835722626232584
6,101,0.8746197071393957,0.4990114447464273
6,101,0.8660254037844387,0.5136749861116189
6,101,0.8571673007021123,0.5275809343853922
6,101,0.848048096156426,0.5407519910938969
6,101,0.838670567945424,0.5532145139235265
6,101,0.8290375725550416,0.5649976247414464
6,101,0.8191520442889918,0.5761324050815346
6,101,0.8090169943749475,0.5866512017192854
6,101,0.7986355100472928,0.5965870360924844
6,101,0.788010753606722,0.6059730955154695
6,101,0.7771459614569709,0.6148423033620589
6,101,0.766044443118978,0.6232269809526827
6,101,0.7547095802227721,0.6311585790808854
6,101,0.7431448254773942,0.6386674508941692
6,101,0.7313537016191706,0.6457826943101909
6,101,0.7193398003386512,0.6525320472762983
6,101,0.7071067811865476,0.6589418106061035
6,101,0.6946583704589974,0.6650368061205543
6,101,0.6819983600624985,0.6708403671008079
6,101,0.6691306063588582,0.6763743504385068
6,101,0.6560590289905073,0.6816591662814798
6,101,0.6427876096865394,0.6867138217589556
6,101,0.6293203910498375,0.6915559769605227
6,101,0.6156614753256583,0.6962020082594707
6,101,0.6018150231520484,0.7006670764753156
6,101,0.5877852522924731,0.7049651987382102
6,101,0.5735764363510462,0.709109322325563
6,101,0.5591929034707468,0.7131113980221712
6,101,0.5446390350150272,0.7169824515533207
6,101,0.5299192642332049,0.720732654903236
6,101,0.5150380749100544,0.7243713934092197
6,101,0.5000000000000001,0.7279073304410563
6,101,0.4848096202463371,0.731348468463148
6,101,0.46947156278589086,0.7347022055552964
6,101,0.4539904997395468,0.7379753892261254
6,101,0.43837114678907746,0.7411743655074352
6,101,0.42261826174069944,0.7443050240965488
6,101,0.4067366430758002,0.7473728395887232
6,101,0.39073112848927394,0.7503829098723088
6,101,0.37460659341591196,0.7533399905125205
6,101,0.3583679495453004,0.7562485259171841
6,101,0.3420201433256688,0.759112676219164
6,101,0.32556815445715676,0.7619363428240927
6,101,0.30901699437494745,0.7647231912166833
6,101,0.29237170472273677,0.7674766696687381
6,101,0.27563735581699916,0.7702000274860983
6,101,0.25881904510252074,0.7728963300269568
6,101,0.2419218955996679,0.7755684717512913
6,101,0.22495105434386492,0.7782191886080775
6,101,0.20791169081775945,0.7808510675518805
6,101,0.19080899537654492,0.7834665560995104
6,101,0.17364817766693041,0.7860679697345689
6,101,0.15643446504023092,0.7886574975626944
6,101,0.1391731009600657,0.7912372086954336
6,101,0.12186934340514749,0.7938090567022537
6,101,0.10452846326765346,0.7963748841338976
6,101,0.08715574274765814,0.7989364254867443
6,101,0.06975647374412546,0.8014953096026156
6,101,0.052335956242943966,0.8040530625045343
6,101,0.03489949670250108,0.8066111095894447
6,101,0.017452406437283376,0.8091707766125968
6,101,6.123233995736766e-17,0.811733291543128
6,101,-0.017452406437283477,0.814299786213137
6,101,-0.03489949670250073,0.8168712961610273
6,101,-0.05233595624294362,0.8194487628632542
6,101,-0.06975647374412533,0.8220330336014026
6,101,-0.08715574274765824,0.82462486263314
6,101,-0.10452846326765333,0.8272249126058688
6,101,-0.12186934340514737,0.829833754619186
6,101,-0.13917310096006535,0.8324518690383137
6,101,-0.15643446504023104,0.8350796454717839
6,101,-0.1736481776669303,0.8377173855593469
6,101,-0.1908089953765448,0.8403653028264337
6,101,-0.20791169081775912,0.8430235227278392
6,101,-0.2249510543438648,0.8456920854668518
6,101,-0.24192189559966779,0.8483709463934404
6,101,-0.25881904510252085,0.8510599770865217
6,101,-0.27563735581699905,0.8537589666047184
6,101,-0.29237170472273666,0.8564676223815998
6,101,-0.30901699437494734,0.8591855727895399
6,101,-0.3255681544571564,0.8619123688229083
6,101,-0.3420201433256687,0.8646474849137892
6,101,-0.35836794954530027,0.8673903203966146
6,101,-0.37460659341591207,0.8701402020841306
6,101,-0.3907311284892736,0.8728963864590922
6,101,-0.40673664307580004,0.8756580614769036
6,101,-0.42261826174069933,0.8784243480104301
6,101,-0.4383711467890775,0.8811943018837471
6,101,-0.4539904997395467,0.8839669169618839
6,101,-0.46947156278589053,0.8867411273571002
6,101,-0.484809620246337,0.8895158092617695
6,101,-0.4999999999999998,0.8922897837930304
6,101,-0.5150380749100543,0.8950618194524012
6,101,-0.5299192642332048,0.8978306341898135
6,101,-0.5446390350150271,0.9005948980104044
6,101,-0.5591929034707467,0.90335323650328
6,101,-0.5735764363510458,0.9061042326641071
6,101,-0.587785252292473,0.9088464287733236
6,101,-0.6018150231520484,0.911578330933163
6,101,-0.6156614753256583,0.914298411028684
6,101,-0.6293203910498373,0.9170051087483112
6,101,-0.6427876096865394,0.919696835319492
6,101,-0.6560590289905075,0.9223719756123986
6,101,-0.6691306063588582,0.9250288910725978
6,101,-0.6819983600624984,0.9276659230797148
6,101,-0.694658370458997,0.9302813951070884
6,101,-0.7071067811865475,0.9328736156947632
6,101,-0.7193398003386512,0.9354408806792976
6,101,-0.7313537016191705,0.9379814768968423
6,101,-0.743144825477394,0.9404936847798857
6,101,-0.754709580222772,0.9429757802089135
6,101,-0.7660444431189779,0.9454260381752119
6,101,-0.7771459614569707,0.9478427353296954
6,101,-0.7880107536067219,0.9502241521932966
6,101,-0.7986355100472929,0.952568575709622
6,101,-0.8090169943749473,0.954874302410262
6,101,-0.8191520442889916,0.957139640891175
6,101,-0.8290375725550416,0.959362913654831
6,101,-0.8386705679454242,0.9615424604438942
6,101,-0.848048096156426,0.9636766406235795
6,101,-0.8571673007021122,0.9657638346622593
6,101,-0.8660254037844387,0.9678024473036452
6,101,-0.8746197071393957,0.969790909830388
6,101,-0.8829475928589268,0.9717276819966845
6,101,-0.8910065241883678,0.9736112544642238
6,101,-0.898794046299167,0.9754401504386568
6,101,-0.9063077870366499,0.9772129282177056
6,101,-0.9135454576426008,0.9789281832135507
6,101,-0.9205048534524402,0.9805845496525235
6,101,-0.9271838545667873,0.9821807025027198
6,101,-0.9335804264972017,0.9837153594847423
6,101,-0.9396926207859083,0.9851872828439366
6,101,-0.9455185755993167,0.9865952806507728
6,101,-0.9510565162951535,0.9879382086479326
6,101,-0.9563047559630354,0.9892149718097724
6,101,-0.9612616959383187,0.9904245259803994
6,101,-0.9659258262890682,0.9915658789812561
6,101,-0.9702957262759965,0.9926380918289406
6,101,-0.9743700647852352,0.9936402804264116
6,101,-0.9781476007338057,0.9945716164903163
6,101,-0.981627183447664,0.9954313286400411
6,101,-0.984807753012208,0.9962187034640845
6,101,-0.9876883405951377,0.9969330862719216
6,101,-0.9902680687415703,0.9975738822603268
6,101,-0.992546151641322,0.9981405571976749
6,101,-0.9945218953682733,0.9986326379169727
6,101,-0.9961946980917455,0.9990497131026754
6,101,-0.9975640502598242,0.9993914338483916
6,101,-0.9986295347545738,0.9996575140488176
6,101,-0.9993908270190958,0.999847730817899
6,101,-0.9998476951563913,0.9999619247216806
6,101,-1.0,1.0
