Z,eV,cosP,RND
6,100,1.0,0.0
6,100,0.9998476951563913,0.001233822468487867
6,100,0.9993908270190958,0.004918149017975118
6,100,0.9986295347545738,0.01100205719262252
6,100,0.9975640502598242,0.019402325804064743
6,100,0.9961946980917455,0.030005820840785576
6,100,0.9945218953682733,0.04267267557534563
6,100,0.992546151641322,0.05724011359895359
6,100,0.9902680687415704,0.07352673525252074
6,100,0.9876883405951378,0.091337095776847
6,100,0.984807753012208,0.11046638722870739
6,100,0.981627183447664,0.1307050423449659
6,100,0.9781476007338057,0.15184309057707404
6,100,0.9743700647852352,0.17367417298671609
6,100,0.9702957262759965,0.19599910004011747
6,100,0.9659258262890683,0.21862886037257837
6,100,0.9612616959383189,0.24138707069684792
6,100,0.9563047559630354,0.264111845719229
6,100,0.9510565162951535,0.2866571025089246
6,100,0.9455185755993168,0.3088933402912896
6,100,0.9396926207859084,0.33070793460804637
6,100,0.9335804264972017,0.3520050115031104
6,100,0.9271838545667874,0.37270497287600746
6,100,0.9205048534524404,0.3927437302825937
6,100,0.9135454576426009,0.4120717176397008
6,100,0.9063077870366499,0.43065274795338127
6,100,0.898794046299167,0.448462762302978
6,100,0.8910065241883679,0.4654885277274006
6,100,0.882947592858927,0.4817263228750742
6,100,0.8746197071393957,0.4971806456006913
6,100,0.8660254037844387,0.5118629656776094
6,100,0.8571673007021123,0.5257905527965439
6,100,0.848048096156426,0.5389853938403728
6,100,0.838670567945424,0.5514731903757819
6,100,0.8290375725550416,0.5632824693274091
6,100,0.8191520442889918,0.5744437898354773
6,100,0.8090169943749475,0.584989043704756
6,100,0.7986355100472928,0.5949508598477223
6,100,0.788010753606722,0.6043620877252637
6,100,0.7771459614569709,0.6132553805421531
6,100,0.766044443118978,0.621662845847135
6,100,0.7547095802227721,0.6296157543330091
6,100,0.7431448254773942,0.6371443313818472
6,100,0.7313537016191706,0.6442775915865686
6,100,0.7193398003386512,0.6510432168570605
6,100,0.7071067811865476,0.6574674802386791
6,100,0.6946583704589974,0.6635752029835253
6,100,0.6819983600624985,0.6693897388089615
6,100,0.6691306063588582,0.6749329812050049
6,100,0.6560590289905073,0.6802253910035904
6,100,0.6427876096865394,0.6852860375005798
6,100,0.6293203910498375,0.6901326513530042
6,100,0.6156614753256583,0.6947816855158984
6,100,0.6018150231520484,0.6992483814343364
6,100,0.5877852522924731,0.70354683978035
6,100,0.5735764363510462,0.7076900928306985
6,100,0.5591929034707468,0.711690176002653
6,100,0.5446390350150272,0.7155581992867411
6,100,0.5299192642332049,0.719304417792723
6,100,0.5150380749100544,0.7229382982310293
6,100,0.5000000000000001,0.7264685830441834
6,100,0.4848096202463371,0.7299033510692627
6,100,0.46947156278589086,0.7332500741961656
6,100,0.4539904997395468,0.7365156705370095
6,100,0.43837114678907746,0.739706554350947
6,100,0.42261826174069944,0.742828681216249
6,100,0.4067366430758002,0.7458875889070528
6,100,0.39073112848927394,0.7488884355003855
6,100,0.37460659341591196,0.7518360349933078
6,100,0.3583679495453004,0.7547348873658598
6,100,0.3420201433256688,0.7575892063837902
6,100,0.32556815445715676,0.7604029461058778
6,100,0.30901699437494745,0.7631798217792196
6,100,0.29237170472273677,0.7659233301214803
6,100,0.27563735581699916,0.7686367671982585
6,100,0.25881904510252074,0.7713232436275308
6,100,0.2419218955996679,0.7739856988492596
6,100,0.22495105434386492,0.7766269122443287
6,100,0.20791169081775945,0.7792495129234869
6,100,0.19080899537654492,0.7818559890552359
6,100,0.17364817766693041,0.7844486961032652
6,100,0.15643446504023092,0.7870298628223162
6,100,0.1391731009600657,0.789601596448283
6,100,0.12186934340514749,0.7921658880320822
6,100,0.10452846326765346,0.7947246163016699
6,100,0.08715574274765814,0.7972795510214926
6,100,0.06975647374412546,0.7998323557956777
6,100,0.052335956242943966,0.8023845902717324
6,100,0.03489949670250108,0.8049377122268362
6,100,0.017452406437283376,0.8074930789830701
6,100,6.123233995736766e-17,0.8100519491691043
6,100,-0.017452406437283477,0.8126154832348683
6,100,-0.03489949670250073,0.8151847453151567
6,100,-0.05233595624294362,0.8177607038079994
6,100,-0.06975647374412533,0.8203442311757871
6,100,-0.08715574274765824,0.8229361060941611
6,100,-0.10452846326765333,0.8255370137516597
6,100,-0.12186934340514737,0.8281475463820785
6,100,-0.13917310096006535,0.8307682040204396
6,100,-0.15643446504023104,0.8333993949531592
6,100,-0.1736481776669303,0.8360414363764774
6,100,-0.1908089953765448,0.8386945562818455
6,100,-0.20791169081775912,0.8413588939815708
6,100,-0.2249510543438648,0.8440345008143549
6,100,-0.24192189559966779,0.846721341040471
6,100,-0.25881904510252085,0.8494192934068373
6,100,-0.27563735581699905,0.8521281523762042
6,100,-0.29237170472273666,0.8548476294986895
6,100,-0.30901699437494734,0.8575773549502326
6,100,-0.3255681544571564,0.8603168787014185
6,100,-0.3420201433256687,0.863065672835931
6,100,-0.35836794954530027,0.8658231325052751
6,100,-0.37460659341591207,0.8685885784945154
6,100,-0.3907311284892736,0.871361258446603
6,100,-0.40673664307580004,0.8741403491674344
6,100,-0.42261826174069933,0.8769249595292873
6,100,-0.4383711467890775,0.8797141315440355
6,100,-0.4539904997395467,0.882506842518895
6,100,-0.46947156278589053,0.8853020082356621
6,100,-0.484809620246337,0.8880984848151238
6,100,-0.4999999999999998,0.8908950711203887
6,100,-0.5150380749100543,0.8936905117140862
6,100,-0.5299192642332048,0.8964834989556238
6,100,-0.5446390350150271,0.8992726756410562
6,100,-0.5591929034707467,0.9020566376944936
6,100,-0.5735764363510458,0.9048339369239139
6,100,-0.587785252292473,0.9076030838155171
6,100,-0.6018150231520484,0.9103625503805668
6,100,-0.6156614753256583,0.9131107726154134
6,100,-0.6293203910498373,0.9158461534315976
6,100,-0.6427876096865394,0.9185670660118285
6,100,-0.6560590289905075,0.9212718559761283
6,100,-0.6691306063588582,0.9239588439853187
6,100,-0.6819983600624984,0.9266263295605229
6,100,-0.694658370458997,0.9292725937020022
6,100,-0.7071067811865475,0.9318959007881383
6,100,-0.7193398003386512,0.9344945023727155
6,100,-0.7313537016191705,0.937066640228176
6,100,-0.743144825477394,0.9396105482660392
6,100,-0.754709580222772,0.9421244559390294
6,100,-0.7660444431189779,0.9446065909005072
6,100,-0.7771459614569707,0.947055181986021
6,100,-0.7880107536067219,0.949468461846544
6,100,-0.7986355100472929,0.9518446695513977
6,100,-0.8090169943749473,0.9541820531992935
6,100,-0.8191520442889916,0.9564788727909982
6,100,-0.8290375725550416,0.9587334030730493
6,100,-0.8386705679454242,0.9609439354336418
6,100,-0.848048096156426,0.9631087806847902
6,100,-0.8571673007021122,0.96522627205889
6,100,-0.8660254037844387,0.9672947672984112
6,100,-0.8746197071393957,0.9693126504749956
6,100,-0.8829475928589268,0.9712783350813627
6,100,-0.8910065241883678,0.9731902660384663
6,100,-0.898794046299167,0.9750469218583684
6,100,-0.9063077870366499,0.9768468170480887
6,100,-0.9135454576426008,0.9785885039255181
6,100,-0.9205048534524402,0.9802705746715179
6,100,-0.9271838545667873,0.981891663083235
6,100,-0.9335804264972017,0.9834504470892838
6,100,-0.9396926207859083,0.984945650176022
6,100,-0.9455185755993167,0.9863760429574245
6,100,-0.9510565162951535,0.9877404452529666
6,100,-0.9563047559630354,0.9890377276736191
6,100,-0.9612616959383187,0.9902668128515102
6,100,-0.9659258262890682,0.9914266770591902
6,100,-0.9702957262759965,0.9925163516310432
6,100,-0.9743700647852352,0.9935349240059502
6,100,-0.9781476007338057,0.9944815393635071
6,100,-0.981627183447664,0.9953554016423002
6,100,-0.984807753012208,0.9961557743894479
6,100,-0.9876883405951377,0.996881981884359
6,100,-0.9902680687415703,0.997533410128519
6,100,-0.992546151641322,0.99810950750836
6,100,-0.9945218953682733,0.9986097855394666
6,100,-0.9961946980917455,0.9990338196550325
6,100,-0.9975640502598242,0.9993812496005292
6,100,-0.9986295347545738,0.9996517799623209
6,100,-0.9993908270190958,0.999845180610928
6,100,-0.9998476951563913,0.9999612869124861
6,100,-1.0,1.0
