Z,eV,cosP,RND
6,98,1.0,0.0
6,98,0.9998476951563913,0.00121408674743057
6,98,0.9993908270190958,0.004839750595549118
6,98,0.9986295347545738,0.010827683839567719
6,98,0.9975640502598242,0.01909727487026304
6,98,0.9961946980917455,0.029538879171984105
6,98,0.9945218953682733,0.04201685027953319
6,98,0.992546151641322,0.05637319240896161
6,98,0.9902680687415704,0.07243166142926465
6,98,0.9876883405951378,0.0900021404770019
6,98,0.984807753012208,0.10888513821293565
6,98,0.981627183447664,0.1288762044147732
6,98,0.9781476007338057,0.14977016160784187
6,98,0.9743700647852352,0.17136499043467682
6,98,0.9702957262759965,0.19346527308282746
6,98,0.9659258262890683,0.21588516214074832
6,98,0.9612616959383189,0.23845079219290585
6,98,0.9563047559630354,0.26100214557750473
6,98,0.9510565162951535,0.2833943763478565
6,98,0.9455185755993168,0.3054986272728636
6,98,0.9396926207859084,0.3272023813780422
6,98,0.9335804264972017,0.34840940326487224
6,98,0.9271838545667874,0.3690393286122396
6,98,0.9205048534524404,0.3890269760448001
6,98,0.9135454576426009,0.40832143203236243
6,98,0.9063077870366499,0.4268849742720412
6,98,0.898794046299167,0.44469189045941143
6,98,0.8910065241883679,0.4617272254463406
6,98,0.882947592858927,0.4779855170295729
6,98,0.8746197071393957,0.49346955100187156
6,98,0.8660254037844387,0.5081891465232411
6,98,0.8571673007021123,0.5221600091432802
6,98,0.848048096156426,0.5354026679919747
6,98,0.838670567945424,0.5479414906039791
6,98,0.8290375725550416,0.5598037943799669
6,98,0.8191520442889918,0.5710190598805761
6,98,0.8090169943749475,0.5816182386137686
6,98,0.7986355100472928,0.5916331455329721
6,98,0.788010753606722,0.601095944232498
6,98,0.7771459614569709,0.6100387149296522
6,98,0.766044443118978,0.6184930962287084
6,98,0.7547095802227721,0.626489997937292
6,98,0.7431448254773942,0.634059371433937
6,98,0.7313537016191706,0.6412300324615453
6,98,0.7193398003386512,0.6480295346063789
6,98,0.7071067811865476,0.6544840850096417
6,98,0.6946583704589974,0.6606184896029098
6,98,0.6819983600624985,0.666456130572667
6,98,0.6691306063588582,0.6720189665027353
6,98,0.6560590289905073,0.6773275518335412
6,98,0.6427876096865394,0.6824010736607067
6,98,0.6293203910498375,0.6872573985259115
6,98,0.6156614753256583,0.6919131287123328
6,98,0.6018150231520484,0.6963836653279424
6,98,0.5877852522924731,0.7006832743856565
6,98,0.5735764363510462,0.7048251566276198
6,98,0.5591929034707468,0.7088215179662817
6,98,0.5446390350150272,0.7126836383227302
6,98,0.5299192642332049,0.71642194019442
6,98,0.5150380749100544,0.7200460542205848
6,98,0.5000000000000001,0.723564882207802
6,98,0.4848096202463371,0.7269866586919776
6,98,0.46947156278589086,0.7303190060667044
6,98,0.4539904997395468,0.7335689873286287
6,98,0.43837114678907746,0.7367431566657198
6,98,0.42261826174069944,0.7398476041609922
6,98,0.4067366430758002,0.7428879968331732
6,98,0.39073112848927394,0.7458696175569706
6,98,0.37460659341591196,0.7487973997393779
6,98,0.3583679495453004,0.7516759585319422
6,98,0.3420201433256688,0.754509619900029
6,98,0.32556815445715676,0.7573024446605499
6,98,0.30901699437494745,0.7600582523632934
6,98,0.29237170472273677,0.7627806412345817
6,98,0.27563735581699916,0.7654730048384976
6,98,0.25881904510252074,0.7681385490703668
6,98,0.2419218955996679,0.7707803058264918
6,98,0.22495105434386492,0.7734011450898339
6,98,0.20791169081775945,0.776003784236672
6,98,0.19080899537654492,0.77859079742055
6,98,0.17364817766693041,0.7811646249127292
6,98,0.15643446504023092,0.7837275777250188
6,98,0.1391731009600657,0.7862818434837867
6,98,0.12186934340514749,0.7888294924636593
6,98,0.10452846326765346,0.7913724806591852
6,98,0.08715574274765814,0.7939126528754439
6,98,0.06975647374412546,0.7964517457977415
6,98,0.052335956242943966,0.7989913904808598
6,98,0.03489949670250108,0.8015331137043233
6,98,0.017452406437283376,0.8040783402203476
6,98,6.123233995736766e-17,0.8066283938047016
6,98,-0.017452406437283477,0.8091844981180195
6,98,-0.03489949670250073,0.8117477778725206
6,98,-0.05233595624294362,0.8143192587389912
6,98,-0.06975647374412533,0.8168998685599289
6,98,-0.08715574274765824,0.819490438306412
6,98,-0.10452846326765333,0.8220917027645261
6,98,-0.12186934340514737,0.8247043004323624
6,98,-0.13917310096006535,0.827328773646685
6,98,-0.15643446504023104,0.8299655709783132
6,98,-0.1736481776669303,0.8326150467639529
