Z,eV,cosP,RND
6,99,1.0,0.0
6,99,0.9998476951563913,0.00122396022550497
6,99,0.9993908270190958,0.0048789731166497385
6,99,0.9986295347545738,0.010914927438993437
6,99,0.9975640502598242,0.019249907583369058
6,99,0.9961946980917455,0.02977253219812009
6,99,0.9945218953682733,0.042345054418739106
6,99,0.992546151641322,0.056807088020668736
6,99,0.9902680687415704,0.07297981751156891
6,99,0.9876883405951378,0.09067046735579379
6,99,0.984807753012208,0.10967688899979575
6,99,0.981627183447664,0.12979207702199877
6,99,0.9781476007338057,0.15080845098430792
6,99,0.9743700647852352,0.17252181727053106
6,99,0.9702957262759965,0.19473487105902856
6,99,0.9659258262890683,0.2172601739564136
6,99,0.9612616959383189,0.23992259363511587
6,99,0.9563047559630354,0.262561169564142
6,99,0.9510565162951535,0.28503042851695365
6,99,0.9455185755993168,0.30720118322750006
6,99,0.9396926207859084,0.3289608524991394
6,99,0.9335804264972017,0.3502133706106295
6,99,0.9271838545667874,0.3708787498028285
6,99,0.9205048534524404,0.39089234989933425
6,99,0.9135454576426009,0.41020392571945863
6,99,0.9063077870366499,0.42877651902013125
6,99,0.898794046299167,0.4465852406210032
6,99,0.8910065241883679,0.4636159950796661
6,99,0.882947592858927,0.4798641904764834
6,99,0.8746197071393957,0.49533346855105415
6,99,0.8660254037844387,0.5100344762501234
6,99,0.8571673007021123,0.5239837049422101
6,99,0.848048096156426,0.5372024136661508
6,99,0.838670567945424,0.5497156432687205
6,99,0.8290375725550416,0.5615513218646787
6,99,0.8191520442889918,0.572739472084312
6,99,0.8090169943749475,0.5833115175070849
6,99,0.7986355100472928,0.5932996857850503
6,99,0.788010753606722,0.6027364913272901
6,99,0.7771459614569709,0.6116543030956904
6,99,0.766044443118978,0.6200849967000563
6,99,0.7547095802227721,0.6280596669072186
6,99,0.7431448254773942,0.6356084051363617
6,99,0.7313537016191706,0.6427601310458468
6,99,0.7193398003386512,0.6495424669711723
6,99,0.7071067811865476,0.6559816539754789
6,99,0.6946583704589974,0.6621025074409832
6,99,0.6819983600624985,0.6679283970454166
6,99,0.6691306063588582,0.6734812508452741
6,99,0.6560590289905073,0.6787815778098688
6,99,0.6427876096865394,0.683848507148809
6,99,0.6293203910498375,0.688699838512559
6,99,0.6156614753256583,0.6933520998063725
6,99,0.6018150231520484,0.6978206126181861
6,99,0.5877852522924731,0.7021195610427273
6,99,0.5735764363510462,0.7062620617520108
6,99,0.5591929034707468,0.7102602349769473
6,99,0.5446390350150272,0.7141252759191765
6,99,0.5299192642332049,0.7178675232420134
6,99,0.5150380749100544,0.7214965253284009
6,99,0.5000000000000001,0.7250211038434173
6,99,0.4848096202463371,0.7284494148755802
6,99,0.46947156278589086,0.7317890052726221
6,99,0.4539904997395468,0.7350468651715008
6,99,0.43837114678907746,0.7382294782543999
6,99,0.42261826174069944,0.7413428664635313
6,99,0.4067366430758002,0.7443926319020557
6,99,0.39073112848927394,0.7473839946586156
6,99,0.37460659341591196,0.7503218272398098
6,99,0.3583679495453004,0.7532106868924097
6,99,0.3420201433256688,0.7560548433317769
6,99,0.32556815445715676,0.7588583028019489
6,99,0.30901699437494745,0.7616248319301975
6,99,0.29237170472273677,0.7643579776030994
6,99,0.27563735581699916,0.7670610844949193
6,99,0.25881904510252074,0.7697373104269104
6,99,0.2419218955996679,0.7723896398369748
6,99,0.22495105434386492,0.7750208966348481
6,99,0.20791169081775945,0.7776337537602029
6,99,0.19080899537654492,0.7802307417836067
6,99,0.17364817766693041,0.7828142569324911
6,99,0.15643446504023092,0.7853865689529986
6,99,0.1391731009600657,0.7879498251126125
6,99,0.12186934340514749,0.7905060548674661
6,99,0.10452846326765346,0.7930571746034466
6,99,0.08715574274765814,0.7956049908694031
6,99,0.06975647374412546,0.798151203574324
6,99,0.052335956242943966,0.8006974070439782
6,99,0.03489949670250108,0.8032450930360865
6,99,0.017452406437283376,0.8057956520575097
6,99,6.123233995736766e-17,0.8083503739910238
6,99,-0.017452406437283477,0.8109104506049605
6,99,-0.03489949670250073,0.8134769757686234
6,99,-0.05233595624294362,0.8160509454343926
6,99,-0.06975647374412533,0.8186332589318088
6,99,-0.08715574274765824,0.8212247205167034
6,99,-0.10452846326765333,0.8238260396087165
6,99,-0.12186934340514737,0.8264378307451392
6,99,-0.13917310096006535,0.8290606147982149
6,99,-0.15643446504023104,0.8316948188597406
6,99,-0.1736481776669303,0.8343407783903631
6,99,-0.1908089953765448,0.8369987375137433
6,99,-0.20791169081775912,0.8396688489881072
6,99,-0.2249510543438648,0.8423511764181593
6,99,-0.24192189559966779,0.8450456945983572
6,99,-0.25881904510252085,0.8477522905444388
6,99,-0.27563735581699905,0.85047076519625
6,99,-0.29237170472273666,0.8532008347731102
6,99,-0.30901699437494734,0.8559421317856767
6,99,-0.3255681544571564,0.8586942066992026
6,99,-0.3420201433256687,0.8614565292505949
6,99,-0.35836794954530027,0.8642284908780951
6,99,-0.37460659341591207,0.867009406790132
6,99,-0.3907311284892736,0.869798517177807
6,99,-0.40673664307580004,0.8725949890558796
6,99,-0.42261826174069933,0.8753979182186677
6,99,-0.4383711467890775,0.8782063322533955
6,99,-0.4539904997395467,0.8810191931603353
6,99,-0.46947156278589053,0.883835398213249
6,99,-0.484809620246337,0.8866537832387903
6,99,-0.4999999999999998,0.8894731250758942
6,99,-0.5150380749100543,0.8922921436294755
6,99,-0.5299192642332048,0.8951095058270278
6,99,-0.5446390350150271,0.8979238264997298
6,99,-0.5591929034707467,0.9007336720003349
6,99,-0.5735764363510458,0.9035375630173299
6,99,-0.587785252292473,0.9063339769704458
6,99,-0.6018150231520484,0.9091213513540313
6,99,-0.6156614753256583,0.9118980862374835
6,99,-0.6293203910498373,0.9146625472569526
6,99,-0.6427876096865394,0.9174130678163661
6,99,-0.6560590289905075,0.9201479533413034
6,99,-0.6691306063588582,0.9228654835466658
6,99,-0.6819983600624984,0.9255639143461768
6,99,-0.694658370458997,0.9282414825185775
6,99,-0.7071067811865475,0.9308964084113969
6,99,-0.7193398003386512,0.9335268979146945
6,99,-0.7313537016191705,0.9361311456017138
6,99,-0.743144825477394,0.9387073382012706
6,99,-0.754709580222772,0.9412536573387952
6,99,-0.7660444431189779,0.9437682822629059
6,99,-0.7771459614569707,0.9462493929207518
6,99,-0.7880107536067219,0.9486951723415589
6,99,-0.7986355100472929,0.9511038099868865
6,99,-0.8090169943749473,0.9534735044277527
6,99,-0.8191520442889916,0.9558024653731413
6,99,-0.8290375725550416,0.9580889175186463
6,99,-0.8386705679454242,0.9603311028287084
6,99,-0.848048096156426,0.9625272824924462
6,99,-0.8571673007021122,0.9646757403157427
6,99,-0.8660254037844387,0.9667747851675745
6,99,-0.8746197071393957,0.9688227528745468
6,99,-0.8829475928589268,0.9708180088758999
6,99,-0.8910065241883678,0.9727589510608428
6,99,-0.898794046299167,0.9746440117684292
6,99,-0.9063077870366499,0.9764716597745523
6,99,-0.9135454576426008,0.9782404026870362
6,99,-0.9205048534524402,0.9799487892573869
6,99,-0.9271838545667873,0.9815954109883397
6,99,-0.9335804264972017,0.9831789043110987
6,99,-0.9396926207859083,0.9846979525092959
6,99,-0.9455185755993167,0.9861512877004797
6,99,-0.9510565162951535,0.987537692432083
6,99,-0.9563047559630354,0.9888560011773567
6,99,-0.9612616959383187,0.9901051024398257
6,99,-0.9659258262890682,0.991283939806685
6,99,-0.9702957262759965,0.9923915134118896
6,99,-0.9743700647852352,0.9934268815944107
6,99,-0.9781476007338057,0.9943891619252381
6,99,-0.981627183447664,0.9952775326245047
6,99,-0.984807753012208,0.9960912334851355
6,99,-0.9876883405951377,0.9968295668790512
6,99,-0.9902680687415703,0.9974918988433544
6,99,-0.992546151641322,0.9980776597505737
6,99,-0.9945218953682733,0.9985863453104531
6,99,-0.9961946980917455,0.9990175170983239
6,99,-0.9975640502598242,0.9993708030518843
6,99,-0.9986295347545738,0.9996458981262278
6,99,-0.9993908270190958,0.9998425646626584
6,99,-0.9998476951563913,0.999960632651888
6,99,-1.0,1.0
